letter_li,number_li
"['a', 'o', 's', 't', 'a']","[2, 16, 20, 21, 2]"
"['a', 'o', 's', 't', 'a', 'n']","[2, 16, 20, 21, 2, 15]"
"['a', 'p', 'o', 'c', 'a', 'l', 'y', 'p', 's', 'e']","[2, 17, 16, 4, 2, 13, 26, 17, 20, 6]"
"['a', 'p', 'o', 'l', 'l', 'o', 'n', 'i', 'a']","[2, 17, 16, 13, 13, 16, 15, 10, 2]"
"['a', 'p', 'o', 'v', 'i', 'a', 'n']","[2, 17, 16, 23, 10, 2, 15]"
"['a', 'p', 'o', 'v', 'y', 'a', 'n']","[2, 17, 16, 23, 26, 2, 15]"
"['a', 'q', 'u', 'a', 'r', 'i', 'a', 'n']","[2, 18, 22, 2, 19, 10, 2, 15]"
"['a', 'q', 'u', 'a', 'r', 'i', 'u', 's']","[2, 18, 22, 2, 19, 10, 22, 20]"
"['a', 'r', 'a']","[2, 19, 2]"
"['a', 'r', 'a', 'b', 'i', 'a']","[2, 19, 2, 3, 10, 2]"
"['a', 'r', 'a', 'b', 'i', 'c']","[2, 19, 2, 3, 10, 4]"
"['a', 'r', 'a', 'c', 'h', 'n', 'e']","[2, 19, 2, 4, 9, 15, 6]"
"['a', 'r', 'a', 'c', 'h', 'o', 's', 'i', 'a']","[2, 19, 2, 4, 9, 16, 20, 10, 2]"
"['a', 'r', 'a', 'k', 'i']","[2, 19, 2, 12, 10]"
"['a', 'r', 'a', 'l', ' ', 's', 'e', 'a']","[2, 19, 2, 13, 0, 20, 6, 2]"
"['a', 'r', 'a', 's']","[2, 19, 2, 20]"
"['a', 'r', 'a', 'u']","[2, 19, 2, 22]"
"['a', 'r', 'a', 'u', 'c', 'a', 'n', 'i', 'a']","[2, 19, 2, 22, 4, 2, 15, 10, 2]"
"['a', 'r', 'a', 'u', 'c', 'a', 'n', 'i', 'z', 'a', 't', 'i', 'o', 'n']","[2, 19, 2, 22, 4, 2, 15, 10, 27, 2, 21, 10, 16, 15]"
"['a', 'r', 'c', 'a', 'd', 'i', 'a', 'n']","[2, 19, 4, 2, 5, 10, 2, 15]"
"['a', 'r', 'c', 'h', 'i', 'l', 'o', 'c', 'h', 'i', 'a', 'n']","[2, 19, 4, 9, 10, 13, 16, 4, 9, 10, 2, 15]"
"['a', 'r', 'c', 't', 'i', 'c']","[2, 19, 4, 21, 10, 4]"
"['a', 'r', 'e', 'o', 'p', 'a', 'g', 'i', 't', 'i', 'c']","[2, 19, 6, 16, 17, 2, 8, 10, 21, 10, 4]"
"['a', 'r', 'e', 'z', 'z', 'o']","[2, 19, 6, 27, 27, 16]"
"['a', 'r', 'g', 'i', 'v', 'e']","[2, 19, 8, 10, 23, 6]"
"['a', 'r', 'g', 'o']","[2, 19, 8, 16]"
"['a', 'r', 'g', 'o', 'a', 'n']","[2, 19, 8, 16, 2, 15]"
"['a', 'r', 'g', 'o', 'l', 'i', 'c']","[2, 19, 8, 16, 13, 10, 4]"
"['a', 'r', 'g', 'o', 'n', 'a', 'u', 't', 'i', 'c']","[2, 19, 8, 16, 15, 2, 22, 21, 10, 4]"
"['a', 'r', 'i', 'a', 'n', 'e']","[2, 19, 10, 2, 15, 6]"
"['a', 'r', 'i', 'a', 'n', 'n', 'a']","[2, 19, 10, 2, 15, 15, 2]"
"['a', 'r', 'i', 'e']","[2, 19, 10, 6]"
"['a', 'r', 'i', 'e', 's']","[2, 19, 10, 6, 20]"
"['a', 'r', 'i', 'e', 't', 'i', 'a', 'n']","[2, 19, 10, 6, 21, 10, 2, 15]"
"['a', 'r', 'i', 'n', 'j']","[2, 19, 10, 15, 11]"
"['a', 'r', 'i', 's', 't', 'o', 't', 'e', 'l', 'e', 'a', 'n']","[2, 19, 10, 20, 21, 16, 21, 6, 13, 6, 2, 15]"
"['a', 'r', 'm', 'a', 'g', 'e', 'd', 'd', 'o', 'n']","[2, 19, 14, 2, 8, 6, 5, 5, 16, 15]"
"['a', 'r', 'm', 'e', 'n', 'o', 'p', 'h', 'i', 'l', 'e']","[2, 19, 14, 6, 15, 16, 17, 9, 10, 13, 6]"
"['a', 'r', 'm', 'i', 'l', 'l']","[2, 19, 14, 10, 13, 13]"
"['a', 'r', 'm', 'i', 'n', 'i', 'u', 's']","[2, 19, 14, 10, 15, 10, 22, 20]"
"['a', 'r', 'm', 'o', 'r', 'i', 'c']","[2, 19, 14, 16, 19, 10, 4]"
"['a', 'r', 'm', 'o', 'r', 'i', 'c', 'a']","[2, 19, 14, 16, 19, 10, 4, 2]"
"['a', 'r', 'n', 'a', 'u', 't']","[2, 19, 15, 2, 22, 21]"
"['a', 'r', 'r', 'e', 't', 'i', 'n', 'e']","[2, 19, 19, 6, 21, 10, 15, 6]"
"['a', 'r', 't', 'a', 'x', 'e', 'r', 'x', 'e', 's']","[2, 19, 21, 2, 25, 6, 19, 25, 6, 20]"
"['a', 'r', 't', 'o', 't', 'y', 'r', 'i', 't', 'e']","[2, 19, 21, 16, 21, 26, 19, 10, 21, 6]"
"['a', 'r', 'u', 'n', 'd', 'h', 'a', 't', 'i']","[2, 19, 22, 15, 5, 9, 2, 21, 10]"
"['a', 'r', 'u', 'n', 'i', 'm']","[2, 19, 22, 15, 10, 14]"
"['a', 'r', 'y', 'a', 'n']","[2, 19, 26, 2, 15]"
"['a', 'r', 'y', 'a', 'n', 'i', 'z', 'e']","[2, 19, 26, 2, 15, 10, 27, 6]"
"['a', 's', 'a']","[2, 20, 2]"
"['a', 's', 'c', 'l', 'e', 'p', 'i', 'u', 's']","[2, 20, 4, 13, 6, 17, 10, 22, 20]"
"['a', 's', 'h', 'a']","[2, 20, 9, 2]"
"['a', 's', 'h', 'k', 'e', 'n', 'a', 'z', 'i', 'm']","[2, 20, 9, 12, 6, 15, 2, 27, 10, 14]"
"['a', 's', 'h', 't', 'a', 'm', 'i']","[2, 20, 9, 21, 2, 14, 10]"
"['a', 's', 'h', 't', 'a', 'r', 'a', 'k']","[2, 20, 9, 21, 2, 19, 2, 12]"
"['a', 's', 'h', 'u', 'r', 'a']","[2, 20, 9, 22, 19, 2]"
"['a', 's', 'h', 'v', 'a', 'm', 'e', 'd', 'h', 'a']","[2, 20, 9, 23, 2, 14, 6, 5, 9, 2]"
"['a', 's', 'i', 'a', 'r', 'c', 'h']","[2, 20, 10, 2, 19, 4, 9]"
"['a', 's', 'l', 'a', 'n']","[2, 20, 13, 2, 15]"
"['a', 's', 's', 'u', 'r']","[2, 20, 20, 22, 19]"
"['a', 's', 's', 'y', 'r', 'i', 'a']","[2, 20, 20, 26, 19, 10, 2]"
"['a', 's', 't', 'e', 'r', 'i', 'x']","[2, 20, 21, 6, 19, 10, 25]"
"['a', 's', 'u', 'r', 'a']","[2, 20, 22, 19, 2]"
"['a', 't', 'e', 'l', 'l', 'a', 'n']","[2, 21, 6, 13, 13, 2, 15]"
"['a', 't', 'h', 'a', 'r', 'v', 'a', 'v', 'e', 'd', 'a']","[2, 21, 9, 2, 19, 23, 2, 23, 6, 5, 2]"
"['a', 't', 'h', 'e', 'n', 'a']","[2, 21, 9, 6, 15, 2]"
"['a', 't', 'l', 'a', 'n', 't', 'i', 'c']","[2, 21, 13, 2, 15, 21, 10, 4]"
"['a', 'u', 'g', 'i', 'e']","[2, 22, 8, 10, 6]"
"['a', 'u', 'g', 'u', 's', 't']","[2, 22, 8, 22, 20, 21]"
"['a', 'u', 'g', 'u', 's', 't', 'i', 'n', 'e']","[2, 22, 8, 22, 20, 21, 10, 15, 6]"
"['a', 'u', 'g', 'u', 's', 't', 'i', 'n', 'i', 's', 'm']","[2, 22, 8, 22, 20, 21, 10, 15, 10, 20, 14]"
"['a', 'u', 'g', 'u', 's', 't', 'u', 's']","[2, 22, 8, 22, 20, 21, 22, 20]"
"['a', 'u', 'k', 'š', 't', 'a', 'i', 't', 'i', 'a', 'n']","[2, 22, 12, 55, 21, 2, 10, 21, 10, 2, 15]"
"['a', 'u', 'k', 'š', 't', 'a', 'i', 't', 'i', 'j', 'a']","[2, 22, 12, 55, 21, 2, 10, 21, 10, 11, 2]"
"['a', 'u', 'r', 'e', 'l', 'i', 'a']","[2, 22, 19, 6, 13, 10, 2]"
"['a', 'u', 'r', 'e', 'l', 'i', 'a', 'n']","[2, 22, 19, 6, 13, 10, 2, 15]"
"['a', 'u', 'r', 'i', 'g', 'a']","[2, 22, 19, 10, 8, 2]"
"['a', 'u', 's', 'c', 'h', 'w', 'i', 't', 'z']","[2, 22, 20, 4, 9, 24, 10, 21, 27]"
"['a', 'u', 's', 't', 'e', 'r']","[2, 22, 20, 21, 6, 19]"
"['a', 'v']","[2, 23]"
"['a', 'v', 'e', 'l', 'l', 'i', 'n', 'o']","[2, 23, 6, 13, 13, 10, 15, 16]"
"['a', 'v', 'e', 'r', 'n', 'u', 's']","[2, 23, 6, 19, 15, 22, 20]"
"['a', 'x', 'e', 'l']","[2, 25, 6, 13]"
"['a', 'y', 'u', 'r', 'v', 'e', 'd', 'a']","[2, 26, 22, 19, 23, 6, 5, 2]"
"['a', 'z', 'a', 'r']","[2, 27, 2, 19]"
"['a', 'z', 'i', 'z']","[2, 27, 10, 27]"
"['a', 'z', 'o', 'r', 'e', 's']","[2, 27, 16, 19, 6, 20]"
"['a', 'z', 't', 'e', 'c']","[2, 27, 21, 6, 4]"
"['b', 'a', 'b', 'e', 'l']","[3, 2, 3, 6, 13]"
