word,origin,full_name,Group,word_len
ferrarese,ita,Italian,Latin,9
fingal,gla,Gaelic; Scottish Gaelic,Germanic,6
fingalian,gla,Gaelic; Scottish Gaelic,Germanic,9
finola,gle,Irish,Other,6
flanders,fra,French,Latin,8
flavia,lat,Latin,Latin,6
fleur,fra,French,Latin,5
florence,fra,French,Latin,8
florentine,fra,French,Latin,10
flores,por,Portuguese,Latin,6
florida,spa,Spanish; Castilian,Latin,7
floridian,spa,Spanish; Castilian,Latin,9
floréal,lat,Latin,Latin,7
foggia,ita,Italian,Latin,6
fomalhaut,ara,Arabic,Arabic,9
formosa,por,Portuguese,Latin,7
france,fra,French,Latin,6
francesca,ita,Italian,Latin,9
francia,lat,Latin,Latin,7
francis,lat,Latin,Latin,7
francization,fra,French,Latin,12
francophile,lat,Latin,Latin,11
franglais,fra,French,Latin,9
frank,fra,French,Latin,5
franquist,spa,Spanish; Castilian,Latin,9
frelimo,por,Portuguese,Latin,7
fresno,spa,Spanish; Castilian,Latin,6
frimaire,lat,Latin,Latin,8
fructidor,lat,Latin,Latin,9
fructidorian,lat,Latin,Latin,12
fujihara,jpn,Japanese,Japanese,8
fujiwara,jpn,Japanese,Japanese,8
fukushima,jpn,Japanese,Japanese,9
fulda,deu,German,Germanic,5
gabon,por,Portuguese,Latin,5
gabonese,por,Portuguese,Latin,8
gabriel,heb,Hebrew,Other,7
gabrielle,fra,French,Latin,9
gadarene,lat,Latin,Latin,8
gadhelic,lat,Latin,Latin,8
gaditanian,lat,Latin,Latin,10
galant,fra,French,Latin,6
galina,rus,Russian,Other,6
galiza,glg,Galician,Other,6
gallic,lat,Latin,Latin,6
galápagos islands,spa,Spanish; Castilian,Latin,17
ganapati,san,Sanskrit,Other,8
ganda,lug,Ganda,Other,5
ganesha,san,Sanskrit,Other,7
ganga,san,Sanskrit,Other,5
ganges,san,Sanskrit,Other,6
gangnam,kor,Korean,Other,7
gaon,heb,Hebrew,Other,4
garcia,spa,Spanish; Castilian,Latin,6
garda,gle,Irish,Other,5
garfunkel,yid,Yiddish,Germanic,9
gasbarian,hye,Armenian,Other,9
gasbaryan,hye,Armenian,Other,9
gascon,xno,Anglo-Norman,Germanic,6
gasparian,hye,Armenian,Other,9
gasparyan,hye,Armenian,Other,9
gathas,ave,Avestan,Other,6
gaul,fra,French,Latin,4
gaulish,fra,French,Latin,7
gaullism,fra,French,Latin,8
gavar,hye,Armenian,Other,5
gdańsk,pol,Polish,Other,6
gemini,lat,Latin,Latin,6
gemma,lat,Latin,Latin,5
genesis,lat,Latin,Latin,7
genevieve,fra,French,Latin,9
germanic,lat,Latin,Latin,8
germanically,lat,Latin,Latin,12
germanish,lat,Latin,Latin,9
germanist,lat,Latin,Latin,9
germanlike,lat,Latin,Latin,10
germanly,lat,Latin,Latin,8
germanoid,lat,Latin,Latin,9
germinal,lat,Latin,Latin,8
gershom,heb,Hebrew,Other,7
gideon,heb,Hebrew,Other,6
gilgamesh,akk,Akkadian,Other,9
girona,cat,Catalan; Valencian,Other,6
giselle,fra,French,Latin,7
gita,san,Sanskrit,Other,4
giudecca,ita,Italian,Latin,8
glagolitic,lat,Latin,Latin,10
gloria,lat,Latin,Latin,6
gobi,mon,Mongolian,Other,4
gomez,spa,Spanish; Castilian,Latin,5
gopala,san,Sanskrit,Other,6
gorbachev,rus,Russian,Other,9
gorbachevian,rus,Russian,Other,12
gordian,lat,Latin,Latin,7
governator,lat,Latin,Latin,10
govinda,san,Sanskrit,Other,7
grabar,hye,Armenian,Other,6
granger,xno,Anglo-Norman,Germanic,7
grangerism,xno,Anglo-Norman,Germanic,10
